
2.09909	0.171751	-0.632783	0.526606	0.274791	2.02847	0.00240378	
2.08236	0.168671	-0.637215	0.533792	0.309295	2.06006	0.00195814	
2.10893	0.512612	-1.56701	1.28129	0.0866102	2.00353	0.00279396	
2.11516	0.534539	-1.57365	1.2562	0.0919689	1.99781	0.00255404	
2.08271	0.572597	-1.19594	0.767319	0.799765	2.40211	0.00468311	
1.99874	0.579861	-1.21482	0.719826	0.776106	2.41729	0.000992306	
2.11239	0.225188	-0.600876	0.386382	0.348942	2.03994	0.00270451	
2.09269	0.200921	-0.599081	0.424647	0.400391	2.09243	0.00160278	
2.07359	0.334813	-0.495706	0.0696574	0.808836	2.29097	0.00102826	
2.07395	0.334851	-0.495481	0.0700107	0.808854	2.29117	0.00102162	
1.98657	0.278792	-0.901494	0.725148	0.204977	2.05598	0.00216524	
1.9871	0.289092	-0.901661	0.718259	0.207378	2.0596	0.00201179	
2.06419	0.561162	-0.942019	0.410665	1.53293	2.74621	0.00202463	
2.04668	0.565984	-0.93599	0.412481	1.52132	2.76295	0.0016729	
2.13635	0.0797842	0.0205724	-0.230168	1.23209	2.46096	0.0024896	
2.06794	0.0994562	0.0281287	-0.246604	1.19219	2.49628	0.000919654	
1.89741	0.353752	-1.05605	0.970613	0.838307	2.63535	0.00121844	
1.89741	0.353752	-1.05605	0.970613	0.838307	2.63535	0.00125593	
2.02272	0.889908	-1.67715	0.826932	0.311883	2.07691	0.00313946	
2.00901	0.840796	-1.67191	0.893064	0.364548	2.13533	0.00160708	
2.11088	0.753514	-1.5737	0.877654	0.328327	2.05992	0.00224648	
2.10275	0.741667	-1.57013	0.900198	0.352217	2.08711	0.00159317	
2.1402	0.373341	-0.955495	0.648663	0.476864	2.14294	0.00147845	
2.12447	0.403329	-0.965395	0.605677	0.463387	2.12942	0.00105541	
2.06272	0.348599	-0.685522	0.414736	1.72199	2.85878	0.00249165	
2.03723	0.370318	-0.669282	0.418437	1.70222	2.89088	0.00139922	
1.9516	0.493485	-0.494081	-0.206747	0.685777	2.2159	0.00563961	
2.12447	0.32941	-0.461978	0.0207391	0.829682	2.26313	0.00102439	
2.07311	0.159163	-0.0986746	-0.124191	1.54133	2.70007	0.00164174	
2.05617	0.162172	-0.093551	-0.122089	1.53077	2.71296	0.00131894	
1.89762	0.880073	-1.72023	1.01438	0.51862	2.38014	0.00370989	
1.92242	0.826364	-1.73123	1.03945	0.53543	2.34886	0.000608429	
1.82585	0.099384	-0.58395	0.626037	0.196503	2.16055	0.0027213	
1.81287	0.196005	-0.621934	0.502819	0.255045	2.16815	0.00162231	
2.01727	0.279476	-0.536054	0.340445	1.39646	2.74413	0.000849995	
2.01727	0.279476	-0.536054	0.340445	1.39646	2.74413	0.000855138	
2.0163	0.882848	-1.51973	0.638074	0.945999	2.46294	0.00190244	
2.04162	0.852753	-1.51199	0.669629	0.946362	2.45031	0.0015401	
2.06732	0.562894	-0.79575	0.189058	1.51408	2.70352	0.00204709	
2.06698	0.562977	-0.795596	0.18926	1.51426	2.70311	0.00202916	
1.92055	0.123111	-0.822606	1.07335	0.996406	2.76193	0.00235732	
1.88377	0.150829	-0.827769	1.04561	0.997394	2.79808	0.00153161	
2.12145	0.750953	-1.51373	0.805835	0.511079	2.16224	0.000908481	
2.12123	0.750693	-1.51391	0.805753	0.511174	2.1621	0.000905165	
2.09692	0.208609	-0.188495	-0.150963	1.03868	2.38744	0.000976451	
2.08178	0.193218	-0.178907	-0.132323	1.02198	2.39434	0.00084391	
1.88403	0.841718	-1.7822	1.09149	0.520877	2.37783	0.00080906	
1.89933	0.834626	-1.77836	1.10285	0.521987	2.37145	0.00057979	
1.9618	0.00370962	-0.313761	0.520232	1.07501	2.68077	0.00196378	
1.92907	0.0168516	-0.320932	0.498792	1.07424	2.70435	0.000897995	
1.91242	0.317852	-0.949739	0.806636	0.517952	2.36256	0.00200169	
1.87458	0.348479	-0.958648	0.766457	0.519612	2.38157	0.00130004	
2.08897	0.403426	-0.556831	0.0878677	1.10136	2.45889	0.00172842	
2.03631	0.332387	-0.526122	0.154992	1.03897	2.47671	0.000791985	
2.08804	0.87442	-1.60872	0.744227	0.76108	2.31353	0.00139548	
2.07707	0.871826	-1.60736	0.744228	0.753023	2.31471	0.00130675	
1.98554	0.472987	-1.28587	1.0484	0.892794	2.57393	0.00285443	
1.92678	0.500862	-1.28351	1.02425	0.877136	2.61987	0.00101992	
2.00792	0.482133	-0.796477	0.446206	1.72122	2.93703	0.00269582	
2.04123	0.457193	-0.801005	0.459305	1.72817	2.898	0.00160951	
2.09001	0.303109	-0.550832	0.202652	0.719621	2.25292	0.000629724	
2.09001	0.303109	-0.550832	0.202652	0.719621	2.25292	0.000651819	
